iter	Logloss
0	0.6538167614
1	0.6226906622
2	0.5978079305
3	0.5759017035
4	0.5563366511
5	0.5429318117
6	0.5302527555
7	0.5201540283
8	0.5126676694
9	0.5042583865
10	0.5015701493
11	0.4970797574
12	0.4927303629
13	0.4892962373
14	0.487549862
15	0.4849552824
16	0.4819472828
17	0.4797908841
18	0.4768213599
19	0.4741683748
20	0.4720823197
21	0.4699262225
22	0.469046215
23	0.4670574412
24	0.4651042101
25	0.4633124701
26	0.4620512508
27	0.4611547086
28	0.4610753054
29	0.4594481014
30	0.4573913518
31	0.4558277571
32	0.4550281258
33	0.4536812368
34	0.4522168619
35	0.4509481232
36	0.4502361277
37	0.4492999525
38	0.4483354324
39	0.4476360037
40	0.4466732118
41	0.4452185087
42	0.4440684713
43	0.4427167817
44	0.4418344011
45	0.4409406962
46	0.4401263312
47	0.4394469105
48	0.4386393284
49	0.4381175895
50	0.4374146002
51	0.4366386302
52	0.4355777538
53	0.4351002162
54	0.4343404455
55	0.4338234214
56	0.432812818
57	0.4324491103
58	0.4315620207
59	0.4307638194
60	0.429816983
61	0.4286479561
62	0.4281934055
63	0.4277227326
64	0.4274083084
65	0.4266135188
66	0.4258933642
67	0.4251130764
68	0.4239307633
69	0.4231150605
70	0.4222654124
71	0.4222652965
72	0.4218036177
73	0.4210555298
74	0.4204657173
75	0.4202027393
76	0.4192224217
77	0.4183827724
78	0.4177518237
79	0.4165414926
80	0.4153515369
81	0.4147171985
82	0.4142876449
83	0.4132797878
84	0.4125391531
85	0.4118682701
86	0.4113789095
87	0.4108107893
88	0.4102415919
89	0.4089776014
90	0.4083544944
91	0.4075483024
92	0.4068091833
93	0.4060632328
94	0.4055811726
95	0.4050344317
96	0.403598517
97	0.4031752873
98	0.4025890354
99	0.4019527502
100	0.4015417017
101	0.4009160689
102	0.4002716453
103	0.3995744642
104	0.3988655332
105	0.3981099665
106	0.3974576154
107	0.3968526963
108	0.3964418568
109	0.3955762462
110	0.3951441108
111	0.394646164
112	0.3942927868
113	0.3934752205
114	0.3926463902
115	0.3922129099
116	0.3917169451
117	0.3910799744
118	0.389671812
119	0.3890436526
120	0.388560438
121	0.3881583639
122	0.38749266
123	0.3867675987
124	0.3862700925
125	0.3855722942
126	0.3849636123
127	0.3841998571
128	0.3835694509
129	0.3829294181
130	0.382425304
131	0.381945256
132	0.3817059447
133	0.3812910422
134	0.3808565063
135	0.3800349985
136	0.3795367891
137	0.3790139802
138	0.3781221899
139	0.377685143
140	0.3770408138
141	0.3763961157
142	0.3761658036
143	0.3757806707
144	0.3754659524
145	0.3747053033
146	0.3739784621
147	0.3735284799
148	0.373005157
149	0.3722643472
150	0.3716138342
151	0.3709902461
152	0.3707104907
153	0.3699205812
154	0.3689546022
155	0.3684069336
156	0.367741872
157	0.3670116819
158	0.3667352946
159	0.3663591313
160	0.3657288112
161	0.3650104176
162	0.364492252
163	0.3640983526
164	0.3634097068
165	0.3629391762
166	0.362525761
167	0.3619652898
168	0.3613531563
169	0.3607911327
170	0.3605472804
171	0.3598184253
172	0.3593390491
173	0.3588550371
174	0.3582695016
175	0.357539359
176	0.3566704622
177	0.3562685164
178	0.3558468639
179	0.3554288166
180	0.3549691976
181	0.3542332813
182	0.3536690136
183	0.3529673969
184	0.3525140735
185	0.3517252914
186	0.3514490909
187	0.3508172249
188	0.3505136473
189	0.3499661469
190	0.3493222399
191	0.3490152555
192	0.3485838946
193	0.3482788325
194	0.3480444018
195	0.3479005046
196	0.3473053488
197	0.3467180784
198	0.3462061802
199	0.3457663861
