iter	Logloss
0	0.5242738037
1	0.4084852905
2	0.3295923157
3	0.2671608276
4	0.2193655243
5	0.1859421997
6	0.1571606903
7	0.1377774048
8	0.1261104889
9	0.1143885727
10	0.1073115616
11	0.1020100555
12	0.09734216309
13	0.09104057312
14	0.08883447266
15	0.08599320221
16	0.08406889343
17	0.08221731567
18	0.0807454071
19	0.07892978668
20	0.07760314178
21	0.07665895081
22	0.07600979614
23	0.07446548462
24	0.07353039551
25	0.07214012146
26	0.07175282288
27	0.07067199707
28	0.07010684967
29	0.06908091736
30	0.06863259888
31	0.06784657288
32	0.06710877991
33	0.0667041626
34	0.06611642456
35	0.06564932251
36	0.06477445221
37	0.06381409836
38	0.06351266479
39	0.06326024628
40	0.06281164932
41	0.06241154099
42	0.06195103455
43	0.06112379074
44	0.06090852737
45	0.06062874603
46	0.06049021912
47	0.06035073471
48	0.06016599274
49	0.05993487549
50	0.05956118393
51	0.05935029602
52	0.05883733368
53	0.05860274506
54	0.05810432434
55	0.05726978302
56	0.05697918701
57	0.05682843018
58	0.05668455124
59	0.05653485107
60	0.05641396713
61	0.05606112671
62	0.05571170807
63	0.05549150085
64	0.05526639175
65	0.0551825943
66	0.05494033051
67	0.05486165619
68	0.05458369446
69	0.054508255
70	0.05442514038
71	0.05439412689
72	0.0543520813
73	0.0540940094
74	0.05399736786
75	0.05383230972
76	0.05350661469
77	0.05339122772
78	0.0531860199
79	0.05311541748
80	0.05303819275
81	0.05297890854
82	0.05281079865
83	0.05262784576
84	0.05252278137
85	0.05246134567
86	0.0524392662
87	0.05235387802
88	0.05210086441
89	0.05203990173
90	0.05168294525
91	0.05146669388
92	0.0514111824
93	0.05123983002
94	0.05116165543
95	0.05111425781
96	0.05063411331
97	0.05057754898
98	0.05053813171
99	0.05048498535
100	0.05043224716
101	0.05028847504
102	0.05023042297
103	0.05009890366
104	0.04985287094
105	0.04979898453
106	0.0494740448
107	0.04945100021
108	0.04939997864
109	0.04914360046
110	0.04876599503
111	0.04871835327
112	0.04859240723
113	0.04857200241
114	0.04850396729
115	0.04836252594
116	0.04831747055
117	0.04818906403
118	0.04814907074
119	0.04811273193
120	0.04801750946
121	0.04790424728
122	0.04775428009
123	0.04772190857
124	0.04742564392
125	0.0473952713
126	0.04727955627
127	0.04725107193
128	0.04713941193
129	0.04697809219
130	0.04683654022
131	0.04681160736
132	0.04678923798
133	0.04653461838
134	0.04642089462
135	0.04639698029
136	0.04630706787
137	0.04628635025
138	0.04615606689
139	0.04602175903
140	0.04589899445
141	0.04575993347
142	0.04571491623
143	0.04563148499
144	0.04554587173
145	0.04545458221
146	0.0453263588
147	0.04527857971
148	0.04517525482
149	0.04515265656
150	0.04505165863
151	0.04503182602
152	0.04488313675
153	0.04465366364
154	0.04463645554
155	0.04451356125
156	0.04441653442
157	0.04419322968
158	0.04416524506
159	0.04405126572
160	0.0439780159
161	0.04390352249
162	0.0438398056
163	0.0437943306
164	0.04368585205
165	0.04358587646
166	0.04349130249
167	0.04341569138
168	0.04337853622
169	0.04331864166
170	0.04326281357
171	0.04314864731
172	0.04307363892
173	0.04291650391
174	0.04287660217
175	0.04284376526
176	0.04278153229
177	0.04267230988
178	0.04261742401
179	0.04260957718
180	0.04257603455
181	0.04248767471
182	0.04246835327
183	0.04237713623
184	0.04214079666
185	0.04202057648
186	0.04195094681
187	0.04176299667
188	0.04164720154
189	0.0415709877
190	0.04151628876
191	0.04143566513
192	0.04138891602
193	0.04124394608
194	0.04114225388
195	0.04107366943
196	0.04107017517
197	0.04094133759
198	0.04082966614
199	0.04075160217
