iter	Passed	Remaining
411	2470	3525
412	2473	3515
413	2475	3504
414	2478	3493
415	2481	3483
416	2484	3473
417	2487	3463
418	2494	3459
419	2499	3452
420	2503	3443
421	2509	3436
422	2512	3427
423	2515	3417
424	2518	3407
425	2521	3397
426	2524	3388
427	2527	3378
428	2530	3367
429	2532	3356
430	2534	3346
431	2539	3338
432	2543	3330
433	2546	3321
434	2549	3311
435	2553	3302
436	2558	3296
437	2563	3289
438	2568	3281
439	2574	3276
440	2579	3269
441	2585	3264
442	2590	3257
443	2596	3251
444	2604	3247
445	2609	3241
446	2613	3233
447	2619	3227
448	2624	3220
449	2629	3213
450	2633	3205
451	2637	3197
452	2642	3190
453	2646	3182
454	2649	3173
455	2654	3166
456	2657	3157
457	2661	3149
458	2665	3141
459	2671	3136
460	2677	3130
461	2684	3125
462	2690	3120
463	2693	3111
464	2698	3104
465	2701	3095
466	2704	3086
467	2707	3077
468	2710	3068
469	2714	3060
470	2719	3054
471	2725	3048
472	2729	3041
473	2735	3035
474	2741	3030
475	2748	3025
476	2753	3018
477	2757	3011
478	2763	3006
479	2768	2999
480	2776	2995
481	2780	2988
482	2789	2985
483	2797	2982
484	2805	2979
485	2812	2974
486	2818	2968
487	2822	2961
488	2826	2953
489	2829	2945
490	2833	2937
491	2836	2929
492	2839	2920
493	2842	2911
494	2844	2902
495	2847	2893
496	2850	2884
497	2853	2876
498	2857	2869
499	2861	2861
500	2865	2854
501	2872	2849
502	2877	2843
503	2885	2839
504	2889	2832
505	2893	2825
506	2899	2818
507	2902	2811
508	2905	2803
509	2909	2794
510	2914	2789
511	2919	2782
512	2926	2778
513	2941	2781
514	2952	2780
515	2969	2785
516	2973	2778
517	2978	2771
518	2983	2765
519	2991	2761
520	2999	2757
521	3004	2751
522	3008	2743
523	3012	2736
524	3015	2728
525	3018	2720
526	3021	2711
527	3023	2703
528	3026	2695
529	3029	2686
530	3032	2678
531	3036	2671
532	3039	2663
533	3044	2656
534	3047	2649
535	3051	2641
536	3056	2634
537	3061	2629
538	3067	2623
539	3072	2617
540	3076	2609
541	3080	2603
542	3084	2595
543	3088	2588
544	3091	2581
545	3094	2573
546	3099	2566
547	3103	2559
548	3109	2554
549	3117	2550
550	3128	2549
551	3136	2545
552	3143	2540
553	3149	2535
554	3152	2527
555	3156	2520
556	3159	2512
557	3161	2504
558	3165	2497
559	3168	2489
560	3170	2481
561	3173	2473
562	3176	2465
563	3183	2460
564	3187	2454
565	3191	2447
566	3212	2453
567	3217	2446
568	3220	2439
569	3224	2432
570	3228	2425
571	3231	2418
572	3234	2410
573	3237	2402
574	3239	2394
575	3242	2386
576	3247	2380
577	3251	2374
578	3259	2370
579	3268	2366
580	3273	2360
581	3285	2359
582	3290	2353
583	3295	2347
584	3298	2339
585	3301	2332
586	3304	2325
587	3308	2318
588	3313	2312
589	3316	2304
590	3319	2297
591	3322	2290
592	3328	2284
593	3333	2278
594	3339	2272
595	3345	2267
596	3350	2261
597	3353	2254
598	3358	2248
599	3362	2241
600	3364	2233
601	3367	2226
602	3370	2219
603	3374	2212
604	3376	2204
605	3379	2197
606	3382	2190
607	3385	2182
608	3394	2179
609	3400	2173
610	3404	2167
611	3409	2161
612	3413	2154
613	3416	2147
614	3419	2140
615	3423	2134
616	3426	2126
617	3430	2120
618	3433	2113
619	3443	2110
620	3456	2109
621	3463	2104
622	3470	2100
623	3474	2093
624	3478	2087
625	3484	2081
626	3488	2075
627	3493	2069
628	3500	2064
629	3505	2058
630	3509	2052
631	3515	2046
632	3519	2040
633	3522	2033
634	3524	2026
635	3527	2018
636	3532	2012
637	3536	2006
638	3539	1999
639	3542	1992
640	3548	1987
641	3552	1980
642	3556	1974
643	3560	1968
644	3567	1963
645	3572	1957
646	3576	1951
647	3581	1945
648	3585	1938
649	3590	1933
650	3595	1927
651	3601	1922
652	3611	1919
653	3621	1915
654	3628	1911
655	3632	1905
656	3636	1898
657	3639	1891
658	3644	1885
659	3647	1879
660	3650	1872
661	3653	1865
662	3656	1858
663	3660	1852
664	3664	1846
665	3669	1840
666	3676	1835
667	3680	1829
668	3685	1823
669	3688	1816
670	3693	1811
671	3697	1804
672	3700	1797
673	3702	1790
674	3705	1784
675	3708	1777
676	3711	1770
677	3714	1763
678	3716	1757
679	3720	1750
680	3725	1745
681	3730	1739
682	3735	1733
683	3742	1729
684	3747	1723
685	3752	1717
686	3759	1712
687	3763	1706
688	3768	1701
689	3778	1697
690	3784	1692
691	3792	1687
692	3797	1682
693	3804	1677
694	3808	1671
695	3811	1664
696	3815	1658
697	3820	1652
698	3823	1646
699	3826	1639
700	3829	1633
701	3832	1626
702	3840	1622
703	3845	1616
704	3850	1611
705	3855	1605
706	3859	1599
707	3862	1592
708	3865	1586
709	3869	1580
710	3872	1573
711	3874	1567
712	3877	1560
713	3879	1553
714	3881	1547
715	3887	1541
716	3891	1536
717	3897	1530
718	3905	1526
719	3910	1520
720	3917	1515
721	3921	1509
722	3928	1505
723	3935	1500
724	3939	1494
725	3942	1487
726	3945	1481
727	3950	1476
728	3953	1469
729	3957	1463
730	3960	1457
731	3964	1451
732	3968	1445
733	3972	1439
734	3975	1433
735	3982	1428
736	3988	1423
737	3993	1417
738	3999	1412
739	4003	1406
740	4007	1400
741	4012	1395
742	4016	1389
743	4019	1382
744	4022	1376
745	4026	1371
746	4033	1365
747	4037	1360
748	4045	1355
749	4051	1350
750	4058	1345
751	4068	1341
752	4083	1339
753	4100	1337
754	4108	1333
755	4114	1327
756	4118	1322
757	4124	1316
758	4130	1311
759	4134	1305
760	4138	1299
761	4144	1294
762	4148	1288
763	4152	1282
764	4158	1277
765	4162	1271
766	4167	1265
767	4174	1261
768	4179	1255
769	4182	1249
770	4186	1243
771	4191	1237
772	4194	1231
773	4197	1225
774	4199	1219
775	4201	1212
776	4205	1207
777	4209	1201
778	4212	1195
779	4215	1188
780	4218	1182
781	4224	1177
782	4229	1172
783	4234	1166
784	4239	1161
785	4244	1155
786	4249	1149
787	4255	1144
788	4260	1139
789	4267	1134
790	4272	1129
791	4279	1123
792	4285	1118
793	4290	1113
794	4293	1107
795	4298	1101
796	4302	1095
797	4304	1089
798	4307	1083
799	4310	1077
800	4314	1071
801	4317	1065
802	4320	1059
803	4325	1054
804	4332	1049
805	4336	1043
806	4340	1038
807	4344	1032
808	4349	1026
809	4351	1020
810	4354	1014
811	4357	1008
812	4360	1002
813	4363	997
814	4365	991
815	4368	985
816	4371	979
817	4375	973
818	4380	968
819	4384	962
820	4388	956
821	4391	951
822	4399	946
823	4406	941
824	4414	936
825	4419	930
826	4428	926
827	4434	921
828	4436	915
829	4439	909
830	4444	903
831	4447	898
832	4451	892
833	4457	887
834	4462	881
835	4466	876
836	4470	870
837	4478	865
838	4485	860
839	4491	855
840	4495	849
841	4503	845
842	4507	839
843	4511	833
844	4514	828
845	4517	822
846	4522	816
847	4524	811
848	4528	805
849	4531	799
850	4534	793
851	4539	788
852	4543	783
853	4547	777
854	4551	771
855	4559	767
856	4565	761
857	4572	756
858	4577	751
859	4584	746
860	4590	741
861	4593	735
862	4595	729
863	4598	723
864	4602	718
865	4608	713
866	4613	707
867	4619	702
868	4623	696
869	4626	691
870	4629	685
871	4634	680
872	4637	674
873	4639	668
874	4642	663
875	4644	657
876	4647	651
877	4651	646
878	4654	640
879	4657	635
880	4661	629
881	4664	624
882	4670	618
883	4675	613
884	4679	608
885	4684	602
886	4687	597
887	4690	591
888	4693	586
889	4696	580
890	4700	574
891	4702	569
892	4705	563
893	4708	558
894	4710	552
895	4716	547
896	4721	542
897	4732	537
898	4739	532
899	4746	527
900	4753	522
901	4758	516
902	4761	511
903	4764	506
904	4768	500
905	4771	495
906	4774	489
907	4780	484
908	4786	479
909	4792	473
910	4796	468
911	4800	463
912	4804	457
913	4808	452
914	4811	446
915	4814	441
916	4816	435
917	4819	430
918	4821	425
919	4826	419
920	4830	414
921	4836	409
922	4842	403
923	4846	398
924	4850	393
925	4853	387
926	4858	382
927	4861	377
928	4865	371
929	4867	366
930	4869	360
931	4874	355
932	4878	350
933	4882	345
934	4891	340
935	4897	334
936	4908	330
937	4915	324
938	4925	319
939	4929	314
940	4933	309
941	4935	303
942	4939	298
943	4942	293
944	4944	287
945	4947	282
946	4950	277
947	4955	271
948	4959	266
949	4963	261
950	4966	255
951	4974	250
952	4979	245
953	4983	240
954	4988	235
955	4991	229
956	4994	224
957	4997	219
958	5002	213
959	5004	208
960	5007	203
961	5009	197
962	5012	192
963	5014	187
964	5019	182
965	5024	176
966	5027	171
967	5030	166
968	5035	161
969	5038	155
970	5042	150
971	5045	145
972	5051	140
973	5059	135
974	5066	129
975	5072	124
976	5078	119
977	5089	114
978	5092	109
979	5096	104
980	5104	98
981	5109	93
982	5116	88
983	5123	83
984	5129	78
985	5135	72
986	5140	67
987	5144	62
988	5150	57
989	5153	52
990	5157	46
991	5160	41
992	5166	36
993	5172	31
994	5181	26
995	5190	20
996	5199	15
997	5207	10
998	5213	5
999	5218	0
