iter	Passed	Remaining
0	9	9321
1	15	7838
2	23	7655
3	27	6905
4	31	6188
5	35	5932
6	39	5568
7	42	5247
8	44	4948
9	47	4733
10	53	4828
11	58	4830
12	62	4750
13	67	4769
14	74	4912
15	87	5387
16	92	5346
17	96	5274
18	104	5408
19	109	5344
20	111	5192
21	114	5101
22	120	5133
23	126	5124
24	131	5124
25	138	5170
26	142	5135
27	146	5099
28	150	5045
29	154	4998
30	157	4928
31	160	4857
32	164	4816
33	167	4750
34	169	4682
35	172	4614
36	174	4544
37	177	4495
38	181	4477
39	185	4456
40	188	4414
41	192	4382
42	197	4391
43	202	4393
44	205	4358
45	208	4330
46	214	4350
47	219	4352
48	225	4373
49	232	4416
50	239	4465
51	251	4592
52	260	4652
53	268	4695
54	271	4662
55	275	4643
56	281	4661
57	287	4674
58	296	4736
59	302	4741
60	307	4726
61	312	4733
62	317	4715
63	320	4688
64	324	4674
65	329	4660
66	333	4650
67	341	4674
68	347	4682
69	351	4671
70	361	4723
71	367	4737
72	375	4762
73	379	4748
74	383	4726
75	386	4697
76	390	4675
77	394	4661
78	398	4642
79	401	4620
80	409	4644
81	424	4750
82	430	4759
83	435	4743
84	439	4732
85	443	4712
86	446	4684
87	449	4659
88	452	4630
89	456	4611
90	459	4585
91	461	4553
92	463	4523
93	466	4497
94	471	4495
95	476	4485
96	480	4468
97	483	4446
98	487	4439
99	493	4437
100	498	4436
101	503	4434
102	508	4428
103	512	4412
104	515	4394
105	520	4387
106	523	4372
107	527	4352
108	529	4328
109	532	4307
110	537	4301
111	542	4301
112	547	4296
113	553	4301
114	559	4304
115	564	4300
116	575	4340
117	588	4396
118	593	4394
119	602	4418
120	607	4414
121	612	4411
122	617	4400
123	620	4386
124	625	4375
125	630	4370
126	634	4362
127	638	4348
128	642	4339
129	648	4342
130	655	4350
131	661	4347
132	669	4361
133	674	4357
134	679	4355
135	683	4341
136	686	4327
137	689	4309
138	693	4293
139	696	4278
140	699	4258
141	701	4240
142	704	4220
143	706	4199
144	711	4197
145	718	4201
146	727	4222
147	734	4227
148	739	4223
149	747	4236
150	751	4226
151	754	4210
152	757	4191
153	760	4179
154	763	4160
155	766	4146
156	769	4129
157	772	4114
158	777	4113
159	782	4108
160	788	4107
161	794	4108
162	798	4100
163	802	4090
164	805	4077
165	809	4068
166	812	4054
167	815	4038
168	818	4022
169	820	4006
170	824	3995
171	827	3984
172	833	3982
173	838	3978
174	842	3973
175	846	3962
176	849	3951
177	852	3939
178	856	3929
179	859	3915
180	862	3903
181	865	3888
182	867	3873
183	870	3859
184	876	3860
185	882	3861
186	889	3865
187	898	3880
188	907	3893
189	912	3888
190	916	3884
191	920	3875
192	923	3862
193	926	3849
194	929	3835
195	931	3821
196	934	3807
197	937	3795
198	942	3792
199	946	3786
200	951	3783
201	956	3777
202	960	3770
203	963	3759
204	967	3751
205	970	3740
206	973	3729
207	976	3717
208	979	3705
209	983	3698
210	989	3699
211	994	3696
212	999	3691
213	1003	3684
214	1006	3674
215	1009	3664
216	1014	3659
217	1018	3651
218	1020	3640
219	1023	3630
220	1027	3620
221	1032	3618
222	1037	3614
223	1042	3612
224	1051	3620
225	1057	3620
226	1064	3625
227	1074	3638
228	1080	3639
229	1085	3635
230	1091	3632
231	1096	3631
232	1102	3628
233	1105	3618
234	1109	3611
235	1112	3600
236	1115	3590
237	1117	3578
238	1120	3567
239	1122	3554
240	1125	3544
241	1128	3533
242	1131	3523
243	1134	3513
244	1137	3504
245	1142	3501
246	1147	3498
247	1152	3493
248	1156	3488
249	1160	3482
250	1164	3473
251	1167	3464
252	1170	3455
253	1173	3447
254	1176	3437
255	1179	3427
256	1181	3416
257	1184	3405
258	1186	3394
259	1190	3389
260	1196	3387
261	1200	3381
262	1205	3378
263	1214	3386
264	1219	3382
265	1227	3387
266	1235	3392
267	1241	3391
268	1249	3395
269	1255	3395
270	1260	3390
271	1264	3383
272	1267	3376
273	1271	3369
274	1274	3360
275	1277	3352
276	1280	3342
277	1284	3334
278	1288	3329
279	1292	3324
280	1296	3317
281	1301	3313
282	1305	3307
283	1311	3305
284	1316	3301
285	1322	3300
286	1325	3294
287	1329	3286
288	1333	3281
289	1337	3274
290	1340	3266
291	1344	3260
292	1348	3254
293	1354	3253
294	1360	3252
295	1367	3252
296	1373	3250
297	1378	3246
298	1384	3245
299	1391	3247
300	1399	3249
301	1404	3246
302	1409	3243
303	1414	3239
304	1419	3233
305	1423	3228
306	1428	3224
307	1435	3225
308	1453	3251
309	1464	3260
310	1472	3262
311	1478	3259
312	1486	3261
313	1489	3254
314	1493	3248
315	1497	3242
316	1502	3237
317	1506	3231
318	1514	3232
319	1520	3230
320	1526	3229
321	1531	3224
322	1535	3218
323	1538	3210
324	1541	3202
325	1545	3195
326	1548	3187
327	1551	3178
328	1555	3172
329	1563	3173
330	1568	3170
331	1574	3167
332	1581	3167
333	1588	3166
334	1597	3170
335	1603	3167
336	1607	3162
337	1613	3160
338	1618	3155
339	1621	3148
340	1625	3140
341	1628	3133
342	1632	3127
343	1636	3119
344	1639	3112
345	1644	3107
346	1647	3100
347	1651	3093
348	1656	3088
349	1663	3088
350	1668	3085
351	1674	3082
352	1679	3079
353	1687	3079
354	1691	3074
355	1695	3067
356	1698	3058
357	1701	3051
358	1704	3043
359	1708	3038
360	1712	3031
361	1716	3024
362	1719	3016
363	1723	3011
364	1727	3004
365	1730	2998
366	1734	2990
367	1738	2986
368	1746	2987
369	1753	2986
370	1765	2993
371	1790	3022
372	1795	3017
373	1798	3010
374	1803	3005
375	1808	3001
376	1813	2996
377	1819	2993
378	1829	2996
379	1841	3004
380	1846	3000
381	1857	3004
382	1862	3000
383	1866	2994
384	1870	2988
385	1875	2983
386	1881	2980
387	1887	2977
388	1893	2974
389	1901	2973
390	1907	2970
391	1916	2972
392	1923	2970
393	1933	2973
394	1938	2969
395	1942	2962
396	1946	2955
397	1953	2955
398	1959	2951
399	1963	2945
400	1968	2939
401	1971	2933
402	1975	2925
403	1977	2917
404	1981	2911
405	1985	2905
406	1990	2899
407	1994	2893
408	2002	2893
409	2016	2901
410	2022	2898
411	2026	2892
412	2030	2886
413	2033	2879
414	2036	2871
415	2039	2863
416	2042	2855
417	2045	2848
418	2048	2840
419	2051	2832
420	2053	2824
421	2056	2816
422	2059	2809
423	2065	2806
424	2072	2803
425	2078	2800
426	2084	2797
427	2095	2801
428	2104	2801
429	2108	2795
430	2113	2789
431	2116	2783
432	2120	2776
433	2123	2768
434	2126	2762
435	2129	2754
436	2132	2747
437	2134	2739
438	2137	2731
439	2139	2722
440	2142	2715
441	2148	2711
442	2153	2708
443	2163	2708
444	2172	2709
445	2182	2710
446	2185	2703
447	2188	2696
448	2191	2689
449	2194	2682
450	2197	2674
451	2199	2666
452	2201	2658
453	2204	2650
454	2208	2645
455	2213	2641
456	2219	2636
457	2224	2632
458	2230	2629
459	2235	2624
460	2241	2620
461	2249	2620
462	2261	2622
463	2266	2617
464	2272	2615
465	2278	2611
466	2282	2605
467	2286	2599
468	2291	2594
469	2294	2587
470	2297	2580
471	2299	2572
472	2302	2565
473	2306	2559
474	2310	2553
475	2313	2546
476	2317	2540
477	2322	2536
478	2326	2530
479	2329	2523
480	2335	2519
481	2340	2515
482	2345	2510
483	2348	2503
484	2353	2498
485	2356	2492
486	2359	2485
487	2362	2478
488	2365	2471
489	2368	2465
490	2370	2457
491	2374	2451
492	2377	2445
493	2381	2439
494	2385	2434
495	2391	2430
496	2401	2430
497	2407	2427
498	2413	2423
499	2423	2423
500	2427	2417
501	2430	2410
502	2433	2404
503	2436	2397
504	2439	2391
505	2442	2385
506	2447	2380
507	2451	2374
508	2455	2368
509	2458	2362
510	2461	2355
511	2469	2353
512	2474	2348
513	2479	2344
514	2488	2343
515	2493	2339
516	2500	2336
517	2505	2331
518	2509	2325
519	2513	2320
520	2517	2314
521	2520	2308
522	2523	2301
523	2527	2296
524	2533	2291
525	2537	2286
526	2545	2284
527	2560	2289
528	2576	2293
529	2594	2300
530	2601	2297
531	2606	2292
532	2612	2288
533	2615	2282
534	2618	2275
535	2621	2269
536	2624	2263
537	2627	2256
538	2630	2249
539	2632	2242
540	2634	2235
541	2637	2228
542	2642	2224
543	2646	2218
544	2650	2212
545	2653	2206
546	2657	2200
547	2662	2196
548	2666	2190
549	2669	2184
550	2676	2181
551	2681	2176
552	2685	2170
553	2689	2165
554	2692	2158
555	2695	2152
556	2698	2146
557	2701	2139
558	2704	2133
559	2707	2127
560	2713	2123
561	2719	2119
562	2728	2117
563	2738	2117
564	2745	2113
565	2748	2107
566	2752	2101
567	2755	2095
568	2757	2088
569	2760	2082
570	2762	2075
571	2765	2068
572	2768	2062
573	2771	2056
574	2775	2051
575	2780	2046
576	2785	2042
577	2789	2036
578	2793	2031
579	2797	2025
580	2801	2020
581	2804	2013
582	2807	2007
583	2809	2001
584	2812	1995
585	2814	1988
586	2818	1982
587	2821	1977
588	2824	1971
589	2828	1965
590	2832	1960
591	2836	1955
592	2840	1949
593	2843	1943
594	2846	1937
595	2851	1932
596	2855	1927
597	2859	1921
598	2864	1917
599	2872	1914
600	2877	1910
601	2883	1906
602	2890	1903
603	2896	1898
604	2899	1893
605	2903	1887
606	2906	1881
607	2909	1875
608	2914	1871
609	2918	1865
610	2921	1859
611	2924	1854
612	2928	1848
613	2933	1843
614	2936	1838
615	2940	1832
616	2943	1826
617	2947	1822
618	2951	1816
619	2955	1811
620	2958	1805
621	2962	1800
622	2966	1795
623	2971	1790
624	2977	1786
625	2981	1781
626	2985	1776
627	2988	1770
628	2991	1764
629	2994	1758
630	2997	1752
631	3000	1746
632	3002	1740
633	3005	1734
634	3008	1729
635	3012	1724
636	3016	1719
637	3020	1713
638	3023	1708
639	3030	1704
640	3036	1700
641	3043	1697
642	3050	1693
643	3063	1693
644	3072	1690
645	3077	1686
646	3081	1681
647	3085	1675
648	3088	1670
649	3092	1664
650	3095	1659
651	3097	1653
652	3100	1647
653	3102	1641
654	3105	1635
655	3108	1630
656	3113	1625
657	3116	1619
658	3120	1614
659	3125	1610
660	3130	1605
661	3135	1600
662	3141	1596
663	3145	1591
664	3148	1586
665	3151	1580
666	3155	1575
667	3158	1570
668	3161	1564
669	3164	1558
670	3166	1552
671	3170	1547
672	3173	1542
673	3177	1537
674	3181	1531
675	3185	1526
676	3190	1522
677	3196	1517
678	3200	1513
679	3208	1510
680	3217	1506
681	3227	1505
682	3238	1503
683	3245	1499
684	3248	1493
685	3252	1488
686	3255	1483
687	3258	1477
688	3260	1471
689	3264	1466
690	3269	1461
691	3273	1456
692	3277	1451
693	3281	1446
694	3287	1442
695	3293	1438
696	3298	1434
697	3302	1428
698	3306	1423
699	3309	1418
700	3311	1412
701	3316	1407
702	3318	1402
703	3321	1396
704	3323	1390
705	3326	1385
706	3329	1380
707	3334	1375
708	3338	1370
709	3341	1364
710	3345	1359
711	3350	1355
712	3354	1350
713	3359	1345
714	3367	1342
715	3373	1338
716	3380	1334
717	3387	1330
718	3395	1327
719	3399	1322
720	3403	1317
721	3406	1311
722	3410	1306
723	3416	1302
724	3420	1297
725	3424	1292
726	3428	1287
727	3432	1282
728	3436	1277
729	3440	1272
730	3447	1268
731	3452	1263
732	3456	1258
733	3460	1254
734	3463	1248
735	3466	1243
736	3469	1238
737	3472	1232
738	3475	1227
739	3478	1222
740	3481	1216
741	3483	1211
742	3486	1205
743	3489	1200
744	3494	1195
745	3498	1191
746	3502	1186
747	3505	1180
748	3510	1176
749	3514	1171
750	3517	1166
751	3520	1161
752	3528	1157
753	3535	1153
754	3543	1149
755	3548	1145
756	3558	1142
757	3563	1137
758	3568	1132
759	3570	1127
760	3574	1122
761	3578	1117
762	3581	1112
763	3584	1107
764	3588	1102
765	3595	1098
766	3600	1093
767	3609	1090
768	3614	1085
769	3621	1081
770	3626	1077
771	3629	1072
772	3633	1067
773	3639	1062
774	3643	1057
775	3647	1052
776	3654	1048
777	3661	1044
778	3667	1040
779	3673	1036
780	3678	1031
781	3700	1031
782	3712	1028
783	3719	1024
784	3725	1020
785	3730	1015
786	3735	1011
787	3739	1006
788	3743	1001
789	3746	995
790	3750	991
791	3753	985
792	3756	980
793	3759	975
794	3761	969
795	3764	964
796	3768	959
797	3772	954
798	3777	950
799	3782	945
800	3786	940
801	3790	935
802	3793	930
803	3797	925
804	3800	920
805	3803	915
806	3806	910
807	3808	905
808	3811	899
809	3814	894
810	3817	889
811	3821	884
812	3824	879
813	3827	874
814	3832	869
815	3835	864
816	3838	859
817	3842	854
818	3846	850
819	3855	846
820	3861	842
821	3867	837
822	3874	833
823	3882	829
824	3885	824
825	3888	819
826	3890	813
827	3892	808
828	3897	804
829	3902	799
830	3905	794
831	3909	789
832	3914	784
833	3920	780
834	3924	775
835	3928	770
836	3933	765
837	3936	760
838	3939	755
839	3943	751
840	3946	746
841	3949	741
842	3951	735
843	3954	730
844	3958	726
845	3962	721
846	3967	716
847	3972	712
848	3977	707
849	3982	702
850	3985	697
851	3988	692
852	3992	687
853	3995	683
854	3997	678
855	4000	672
856	4003	668
857	4008	663
858	4013	658
859	4018	654
860	4025	649
861	4029	645
862	4034	640
863	4038	635
864	4041	630
